[WARNING] [TerrainFlicker] #32 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1633.229 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #33 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1633.984 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #34 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1634.741 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #35 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1635.508 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #36 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1636.278 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #37 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1637.066 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #38 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1637.830 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #39 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1638.585 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #40 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1639.365 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #41 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1640.124 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
